TF,R.acc,P.acc,FDR.acc,motif,TF.var,R.exp,P.exp,FDR.exp,pass,R.product,label,AF_signature
NFE2L2,-0.204718174175681,0.0108709509608253,0.0298151816793224,MA0150.2,NFE2L2,0.202845080378808,0.0116352331822188,0.0519949482830403,FALSE,0.0415260744956688,"",UP
ARID5A,-0.191693519034491,0.0172374810550159,0.0440382221474036,MA0602.1,ARID5A,0.216520620672953,0.00699397918101693,0.0370421860327934,FALSE,0.0415055997203307,"",UP
MITF,0.168636452390272,0.036557630456044,0.0804483549268698,MA0620.3,MITF,0.244427827909581,0.00225034876575707,0.0138408547743338,FALSE,0.0412194417641316,"",UP
GLIS3,-0.234303676250156,0.00344712656388537,0.0123655099239564,MA0737.1,GLIS3,-0.173416208415205,0.0314897196504507,0.105953644941516,FALSE,0.0406320551530457,"",UP
NRL,-0.244657700735695,0.00222821197387176,0.00884173474738476,MA0842.2,NRL,-0.165448202654851,0.0403074263098055,0.127524348194953,FALSE,0.0404781768523891,"",UP
SOX4,-0.0823716902557451,0.309817716115714,0.419462824359932,MA0867.2,SOX4,-0.491262033521835,9.86709052687347e-11,3.31998575374801e-09,FALSE,0.0404660840596681,"",UP
NR1H3,-0.100826021183653,0.213427025732211,0.313418427551633,MA0494.1,NR1H3::RXRA,-0.400271142952809,2.69736423790994e-07,5.14297448028161e-06,FALSE,0.0403577467385649,"",UP
HOXA4,-0.267731734705808,0.000788239460723107,0.00372168758037619,MA1496.1,HOXA4,-0.150643876425695,0.0622000293305821,0.171876409551174,FALSE,0.0403321463582587,"",UP
IRF7,-0.162150531055505,0.0445204512473748,0.0930315311779876,MA0772.1,IRF7,0.248611127059993,0.00187715661119428,0.0119303731289236,FALSE,0.0403124262790857,"",UP
ESRRG,0.117071045580183,0.148190121605211,0.234285067625483,MA0643.1,ESRRG,0.343042853611719,1.32904605726009e-05,0.000168936521056171,FALSE,0.0401603855511338,"",UP
FOSL2,0.096381136525388,0.234406543542017,0.334354266696644,MA1130.1,FOSL2::JUN,0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.0396501950073941,"",UP
SOX5,0.117058473628968,0.148233983805936,0.234285067625483,MA0087.1,SOX5,-0.338656763740797,1.73892293140364e-05,0.000211630620587847,FALSE,0.0396426438476236,"",UP
RXRA,-0.166306621710218,0.0392673595063925,0.0851553784644441,MA0512.2,RXRA,-0.237389281127251,0.00303256908273246,0.0180690574512809,FALSE,0.0394794093744903,"",UP
ALX3,-0.226452301946631,0.004741570692577,0.0153791814637497,MA0634.1,ALX3,-0.173471660278901,0.0314346181576822,0.105953644941516,FALSE,0.0392830567926611,"",UP
TGIF1,-0.19942092133936,0.0131550588060493,0.0356860867975009,MA0796.1,TGIF1,-0.19698243968092,0.0143407780475217,0.0607328219311574,FALSE,0.0392824196088441,"",UP
SOX15,-0.10435900244822,0.197735573598854,0.296999182553913,MA1152.1,SOX15,-0.37557262298228,1.58939362719238e-06,2.45711663447037e-05,FALSE,0.0391943842812923,"",UP
JUNB,-0.15890504666188,0.0490198320046559,0.0999147395504734,MA1133.1,JUN::JUNB(VAR.2),0.245505024964466,0.00214831033457734,0.0133568859932417,FALSE,0.0390119874477045,"",UP
SPZ1,-0.356929694780641,5.52294541446147e-06,5.72238510998369e-05,MA0111.1,SPZ1,0.10920642612851,0.1775906489342,0.35149429477634,FALSE,0.0389790163461335,"",UP
NR2E3,-0.164406307530506,0.0416007723902374,0.0894356662914037,MA0164.1,NR2E3,-0.236289463958291,0.00317486404746955,0.0187218787129132,FALSE,0.0388474782777453,"",UP
JUN,-0.290736032093553,0.000254307708761576,0.00146298081417685,MA0488.1,JUN,0.13345256644584,0.0989431585045075,0.242899084397332,FALSE,0.0387994696411647,"",UP
FOSL2,0.0938476697220332,0.246991636784616,0.349631425125851,MA1139.1,FOSL2::JUNB(VAR.2),0.411389577222403,1.15676552980498e-07,2.45062919647574e-06,FALSE,0.038607953170255,"",UP
ZNF740,-0.47120060180633,6.932566904829e-10,1.84703389678658e-08,MA0753.2,ZNF740,0.0814168368491187,0.315478781693122,0.505473005962089,FALSE,0.0383636625204725,"",UP
NFIB,-0.153460333051801,0.0574137019374151,0.112611068000272,MA1643.1,NFIB,-0.24901958462678,0.0018439160291793,0.0118507861650624,FALSE,0.0382146283932469,"",UP
