feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,TF.name,auc_TF_expr,combined_auc
MA0102.4,FB,2.07856132957031,2.49972664904878,19726879,0.769643208277412,0,0,100,100,CEBPA,0.492894051000343,0.379352558752755
MA0885.1,Mesothelial,0.997571486749056,1.11327489740737,9496278.5,0.758520202117021,3.57698608448619e-184,1.49911888709365e-183,100,100,Dlx2,0.499907663896584,0.379190062258684
MA0615.1,Mesothelial,0.765862561491805,0.821338578849139,8862609,0.707905520037573,7.89664378160638e-120,2.14996213907969e-119,100,100,Gmeb1,0.535234171067808,0.378895224211636
MA1473.1,FB,0.81778907681282,1.078393285242,19421164,0.757715752676426,0,0,100,100,CDX4,0.499907749149474,0.378787976415572
MA0488.1,Neuron,1.22243276688867,1.13226401057151,1106500,0.701893940114777,1.05371161250794e-15,1.78652014302483e-14,100,100,JUN,0.53963401289861,0.378765843533353
MA0880.1,Mesothelial,0.982998911483922,1.09022270707777,9464253,0.755962148587641,1.37893448476966e-180,5.53056519160305e-180,100,100,Dlx3,0.500973722550777,0.378717171685434
MA1579.1,Adipo,1.33985753492245,1.27916446419754,1024674,0.713727784685146,5.38150188483661e-16,7.04315860717213e-15,100,100,ZBTB26,0.530604980967008,0.378707517608487
MA0603.1,CM,0.615082972706479,0.825567117904338,18854219.5,0.691925564150027,1.61425343573308e-220,3.18580175411872e-220,100,100,Arntl,0.54701193034746,0.378491538502461
MA0743.2,Mesothelial,0.908223982174265,1.13205629338928,9469514,0.756382373708812,3.57182287154284e-181,1.4640548693247e-180,100,100,SCRT1,0.500293981858671,0.378413549550495
MA1105.2,Mesothelial,1.00575830043076,1.10173742066506,9493934,0.758332933955724,6.56519083491255e-184,2.7361074652764e-183,100,100,GRHL2,0.498891807007959,0.378326087734818
MA0744.2,Mesothelial,0.901962611267119,1.0951140208553,9458111,0.7554715531316,6.65614800653998e-180,2.6412161770632e-179,100,100,SCRT2,0.500587644215255,0.378179725053787
MA0009.2,CM,0.70391586803524,1.05063907173127,20606984,0.756249763063943,0,0,100,100,TBXT,0.499888105628287,0.378040261439875
MA1587.1,Mesothelial,0.978176478366739,0.991042349107172,9658110,0.771446577653385,7.73531806025258e-203,3.5620662178694e-202,100,100,ZNF135,0.490006653630982,0.378013955971008
MA0808.1,CM,0.445842233277569,0.818282452232725,17689231,0.64917198715413,5.00648142052016e-134,8.54653350047606e-134,100,100,TEAD3,0.581927616708967,0.377771107318827
MA0161.2,Mesothelial,0.324868876326994,0.592287981695539,7526834,0.601209794656008,9.26241558713247e-30,1.29396292659191e-29,100,100,NFIC,0.627970251160591,0.377541865750341
MA1647.1,Adipo,1.2647708147319,1.09493850557628,977765,0.681053727715031,6.70232395483961e-12,5.10197313296974e-11,100,100,PRDM4,0.554057527347954,0.377342944368897
MA1588.1,Mesothelial,0.775544832418579,0.868747939661312,8914178,0.712024620830897,1.51861777182806e-124,4.24302942990163e-124,100,100,ZNF136,0.529702072290542,0.377160917176014
MA0470.2,Mesothelial,0.799689980953969,0.815676480786249,8822776.5,0.704723878308045,2.9993720998482e-116,7.93450917193886e-116,100,100,E2F4,0.535101857265637,0.377099056142078
MA0602.1,Adipo,0.952828980572065,0.991117174902607,1065452,0.742131346797477,4.33668139480228e-20,9.7872790338598e-19,100,100,Arid5a,0.507627475769069,0.376726262263903
MA0835.2,FB,1.85177555727598,2.30976994369939,19507478,0.76108328911639,0,0,100,100,BATF3,0.49473231842442,0.376532500138635
MA0831.2,Myeloid,1.11031335698162,1.28869068774636,10620960,0.756890231974439,1.30190709433959e-203,1.31246309780721e-202,100,100,TFE3,0.497406745049748,0.376482306646354
MA0758.1,FB,1.11773516881176,1.29935198047671,19358549,0.75527283154905,0,0,100,100,E2F7,0.498268653047848,0.376328776459579
MA0606.1,Adipo,1.14433561142494,1.01003532911287,909150,0.63326054476497,4.37233424275072e-07,1.583379293734e-06,100,100,NFAT5,0.594182486861489,0.376272325319711
MA0039.4,EC,0.636298569710865,0.548694122733928,9221603,0.637704317759433,1.18238004038064e-61,9.48446785079522e-61,100,100,KLF4,0.589893210009941,0.376177447040311
MA0690.1,Lymphoid,0.435451660176051,0.611316637806322,1528524,0.642137686273719,3.9626575943911e-12,1.0336162816139e-11,100,100,TBX21,0.585668896573975,0.376080070168494
