feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
AP1G1,aFB3,0.459378688466513,0.118793182176728,345276,0.559526548973725,3.47474504143365e-05,0.00102660724636051,39.7769516728625,24.5422842197036
LINC01572,aFB3,0.107389602626563,0.04003801938442,324106,0.525220147596931,0.000507098194572966,0.00970313867703657,10.0371747211896,4.79511769834351
ZNRF1,aFB3,0.18611847265236,0.0771905494137268,331437,0.537100177284852,6.38720539055838e-05,0.0016748233833089,15.9851301115242,8.28247602441151
BCAR1,aFB3,0.141240794607024,0.0605256896859002,327427.5,0.530602703675015,0.000190159822018113,0.0043273810449848,12.639405204461,6.27724498692241
CFDP1,aFB3,0.646239245286476,0.206662371441086,356419,0.577583999637004,3.67705723638317e-07,1.67753669694707e-05,46.4684014869888,29.2502179598954
AC106729.1,aFB3,0.068668177212658,0.047134786346113,319135,0.517164544326075,5.02214736373597e-05,0.00136948442127668,4.83271375464684,1.3949433304272
LINC01229,aFB3,0.0561047801717752,0.0396513122423912,318017,0.515352803336974,0.000245541247260899,0.00538879875087911,4.46096654275093,1.3949433304272
CMC2,aFB3,0.214889788257711,0.0964550663734872,337515,0.546949695828458,1.46707161003774e-06,5.93519732522251e-05,18.9591078066915,9.11072362685266
CMIP,aFB3,0.594878307848189,0.334945254868737,374125.5,0.606277731142823,1.30472859658414e-15,1.92591038517406e-13,39.7769516728625,19.0061028770706
AC138304.1,aFB3,0.00778336960649167,0.00661282181285976,311712,0.505135426828675,0.000305631435320365,0.00636762692301518,1.11524163568773,0.0871839581517001
COTL1,aFB3,0.0869461588251328,0.0612967119670474,324704,0.526189218358543,6.20697024489353e-07,2.69964367955091e-05,7.43494423791822,2.1795989537925
CRISPLD2,aFB3,1.53626512502785,1.00919805189676,433874,0.703101350541092,2.75285313550672e-37,1.59461103369026e-34,63.5687732342008,32.2144725370532
GSE1,aFB3,0.49171343715893,0.194481588903394,351820.5,0.570132039942569,1.93011267963287e-07,9.31693659785913e-06,34.9442379182156,20.4010462074978
IRF8,aFB3,0.0204606018467063,0.0177448899578283,315626,0.511478140810195,1.35506591464411e-06,5.5406978591186e-05,2.60223048327138,0.30514385353095
SLC7A5,aFB3,0.183466150038692,0.151653649095988,344122,0.557656469276568,1.09776299368107e-20,2.49812958401316e-18,14.1263940520446,2.615518744551
BANP,aFB3,0.59652625845613,0.404969277088016,375016.5,0.607721614167231,2.09676100899341e-19,4.30974570617351e-17,34.9442379182156,14.0802092414996
