feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,auc.ct,auc.ct.af
NEK5,AF,0.0869403261409163,0.0106943381224188,2087383,0.601301072406756,0.000225959650689761,0.000469282039543925,95.3703703703704,70.4663534828734,0.521141210293416,0.313362768624786
DIRAS3,AF,0.0639483889913832,0.0110421246039874,2099900.5,0.604906920578295,0.000109841471048803,0.000233503479913171,90.7407407407407,63.1210527953209,0.528044054454576,0.319417502909795
CD27,AF,0.0132530743921632,0.00726156943447219,2197304,0.632965417273043,5.01931589095427e-17,1.9727465025962e-16,40.7407407407407,12.1706125750552,0.505962531422813,0.320256784826566
TINAG,AF,0.0869436254263982,0.0149372180559348,2083806.5,0.600270809495991,0.000256330958190991,0.000529715664879847,90.7407407407407,69.4334691845814,0.546704266698639,0.328170612726104
LHFPL1,AF,0.00986161882331118,0.00831396771839155,2265214,0.652527881769085,3.84756505369754e-93,7.54563753610036e-92,33.3333333333333,2.3457673521451,0.505723751255692,0.329998848167193
LRRC52,AF,0.0223791883891257,0.0115788352515054,2337323,0.673299929366569,3.07772382780586e-19,1.30874566308762e-18,58.3333333333333,19.58746850014,0.511562864911345,0.344435240811368
RASL11B,AF,0.0289900631276756,0.0126314431681503,2408685,0.693856792735242,1.73025317870356e-20,7.65840440162774e-20,70.3703703703704,24.0114488380052,0.512251956619334,0.355429499692243
SLA2,AF,0.109516130886043,0.0433841406808195,2420971.5,0.697396097992651,6.73007452360326e-13,2.25060380342112e-12,98.1481481481482,70.6467971253461,0.556700812248914,0.388240974211732
RAPGEF4-AS1,AF,0.0678714788669539,0.0317670058636412,2520213,0.725984057354807,2.07172280804175e-18,8.56430865977946e-18,92.5925925925926,48.0353420651464,0.537522891280104,0.390233049532616
GPRC5D-AS1,AF,0.205126027387204,0.0543451171406482,2392336.5,0.689147369221569,1.03706922379277e-11,3.29401834789209e-11,99.0740740740741,89.8951560215288,0.569593161385924,0.392533628695706
PTPRO,AF,0.106631075926456,0.0657952528937936,2606567,0.75085958465699,1.81284933200077e-21,8.31283852216571e-21,88.8888888888889,53.1188750272221,0.527138550444196,0.395807033043217
C17orf107,AF,0.0220069108451098,0.0214116823975433,2761919.5,0.795611134732405,0,0,60.1851851851852,0.802663099275114,0.511111562505264,0.406646050219666
ETV4,AF,0.0761855616754342,0.0447778700680366,2674193,0.770340238817046,7.95704202675548e-27,4.29782446549473e-26,91.6666666666667,43.4806956413527,0.529383795970137,0.407805639813509
EAF1-AS1,AF,0.0734535572672434,0.0516274099720925,2780636,0.801002695132055,6.03580868707548e-37,4.26094326545643e-36,86.1111111111111,34.8567339700713,0.526331270535452,0.421592766231176
LAMB3,AF,0.060244962121487,0.0426440954128528,2824463.5,0.813627844781595,9.05373470242144e-44,7.45341095379771e-43,88.8888888888889,30.0065333042964,0.524973565000556,0.427133110258713
