gene_id,colors,L2FC,padj,cell_type.marker
ARHGAP44,green,0.0783674742254042,0.177444155303916,Mesothelial
ELAC2,turquoise,-0.055144518257104,0.144916274117474,
SCIN,green,0.210393641320037,0.076174220248543,Mesothelial
ARSD,blue,0.0772289099660405,0.0902842970894209,
ADIPOR2,magenta,-0.0568108379794665,0.13546240608877,
CEACAM21,blue,0.122560114692823,0.176620576772074,
PAFAH1B1,brown,-0.0737604011806586,0.00725647880679097,
MATK,blue,0.757707942154552,1.51757029392122e-08,
SCN4A,salmon,-0.128490122082948,0.148072196597787,
TKTL1,turquoise,-0.259290745127704,0.00211158225922639,
RHBDF1,grey,-0.136270735932279,0.00104773922671743,
CACNA2D2,brown,-0.637602148364529,4.7936189069248e-19,
SELE,magenta,-0.0819939163519878,0.115542590503394,
DNAJC11,purple,-0.126025835617772,0.000774598402631045,CM
FMO3,blue,0.28523808497028,0.00804349122654497,
NOX1,green,1.06423013485589,0.000274541419363832,
CAMK1G,blue,0.875476471638871,3.07015139057656e-06,
NADK,salmon,-0.0913429357985084,0.0792487914500454,Adipo
DLEC1,green,0.192123082257784,0.0501076471225085,
CYTH3,black,0.0861345192288391,0.0102046880641625,FB
ADAM22,brown,-0.120386962197584,0.0748850425997867,CM
CYB561,grey,-0.348431557518605,4.07235313609513e-10,
AASS,brown,-0.125041876397461,0.0879803742817284,
MGST1,cyan,-0.226632546306361,0.065756533162135,
PGLYRP1,grey,-0.0977339343949241,0.0937183715775689,
PKD1,black,0.104270574646148,0.0153246400398406,
RHOBTB2,grey,0.0892436315961481,0.0448710099740355,
HEATR5B,brown,0.0990724961563717,0.0119458780493575,
UBE3C,brown,-0.0965228909381745,0.00518186481524918,
TRAF3IP3,blue,0.559377493823026,1.78901367805209e-07,Lymphoid
MLXIPL,cyan,-0.282127431933057,0.0398868190101076,Adipo
BAZ1B,brown,-0.0582290211522359,0.0352273677543343,
ETV7,blue,0.330640956623212,0.0158318421967109,
SPRTN,brown,-0.057553623147175,0.16764373926611,
UQCRC1,turquoise,-0.111121102869719,0.0661256542851435,CM
STARD3NL,turquoise,-0.0732664799123299,0.00506653494647937,
CD9,pink,0.0914661426869412,0.157190249392933,
HHATL,turquoise,0.0989494855315204,0.0818697416311509,CM
NCAPD2,black,0.0697070253657605,0.0357506106717491,
IFFO1,red,0.0687065390467991,0.136578397210489,
GIPR,grey,0.103757729403791,0.105492206389806,CM
FUZ,turquoise,-0.0969637120458708,0.0433760690113694,
ZNF200,grey,0.0659267253069797,0.022328175843789,
CD4,blue,0.262126977668933,0.0261970143806517,Myeloid
BTK,blue,0.27707238826298,0.0153427605472754,
FYN,blue,-0.105904591836995,0.000560255628957772,
HIVEP2,brown,-0.262182531938178,5.13397992585646e-06,Mesothelial
FMO1,blue,0.260735373354426,0.0263484342032751,
MKS1,red,0.104688896814863,0.00107480734299407,
ABHD5,brown,-0.0601113304521291,0.172532650190171,
AKAP8L,turquoise,-0.101025140011948,0.00612930858881821,CM
RNF216,grey,0.501925964838234,3.12271219255229e-27,CM
LARS2,yellow,-0.0745652149531114,0.10086113664484,CM
ANLN,tan,0.556085238467165,0.000614504638306999,
WIZ,grey,-0.152479637476741,8.74434041756854e-10,
QPCTL,red,0.12488885465775,0.0133870984552394,
TMEM159,grey,0.252650955863043,9.64753827436289e-08,CM
